,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000100542,5.257226878,6.104986847,33.92263569,8.111674906,59.93246405,8.89839411,5.728791971,38.2793844,21.47607051,44.90486068
ENSSSCT00000058844,0,0,0,0,13.68142993,0,0.293384873,0.156657889,0.10048656,0.116524546
ENSSSCT00000086938,14.85834448,3.922771073,9.376958561,3.281211435,4.406763055,10.65146382,1.012310958,4.183770463,2.588500859,29.7882052
ENSSSCT00000057327,0,1.346994276,2.556703811,0,3.488963354,5.263509122,1.388747468,1.754491673,0.704925773,1.139552429
ENSSSCT00000009475,43.00047831,13.38161065,214.0427769,47.83553189,32.01047847,26.17173442,12.8935729,164.1139344,73.73346092,12.11757583
ENSSSCT00000097655,10.71757891,9.47647109,8.981924909,3.493228176,6.296786686,4.065141889,1.456409397,2.140830823,16.2984744,27.44209377
ENSSSCT00000012724,0,0,0,12.10549978,10.08580425,0,0.488578869,0,0.314212486,0.172622431
ENSSSCT00000032085,0,56.32481111,33.97733714,38.48438299,212.7880915,0,0.881698565,1.363029922,0.507588786,0.44339473
ENSSSCT00000014867,26.3772552,100.2813624,10.97808321,24.17643592,106.3055297,30.48943343,46.19955353,12.13651438,129.7546899,79.77374147
ENSSSCT00000007336,13.6846032,17.73338752,45.15947952,8.055400686,24.85795477,29.60001784,38.66185244,17.58614347,8.858769488,6.47935206
ENSSSCT00000077807,0,1.674187618,0,0,0,0,0,0,0,0
ENSSSCT00000092092,6.371791111,1.553949636,2.610864946,4.079376964,5.699619843,2.160649482,1.191229967,21.11124854,3.066817325,4.93853381
ENSSSCT00000016582,1.873871007,0,0,1.165247715,0,0,0,0,0,0
ENSSSCT00000060173,0,0,0,0,0,1.056221379,0,0,0,0
ENSSSCT00000001967,1.489241021,0.505878008,0,3.200898354,0.553771149,0,0,0,0,0
ENSSSCT00000019121,7.659400209,62.15720066,15.14323179,16.0800048,19.11560573,336.9305369,143.69166,80.6978533,157.9850971,15.93826262
ENSSSCT00000065079,6.420213273,7.091482594,21.82531348,7.88926802,3.241164949,10.36156104,35.84073636,5.825290769,5.859727118,5.346449388
ENSSSCT00000058100,30.57130017,25.69442326,9.437641374,12.16323128,16.12334041,53.76234087,12.40634606,8.135136483,62.66631435,83.30278484
ENSSSCT00000101017,1.78322383,13.49888371,3.658051818,6.754234927,7.415540733,1.613824676,4.061801357,0.030932854,6.020168107,6.183862581
ENSSSCT00000051623,82.80406777,49.8684352,104.8180736,12.35076466,118.9618855,36.38090209,54.88468123,9.687282418,64.85107388,50.09123518
ENSSSCT00000026254,9.697802686,28.73218799,25.56597735,7.95233978,38.09574526,11.49552461,68.22901733,105.7863329,42.58896057,86.64142691
ENSSSCT00000076510,67.31538169,24.5727363,0,9.850167247,0,0,0.00984229,0,0.069927436,0.078738819
ENSSSCT00000027442,0.669858027,0,0,0,0,0,0,0,0,0
