Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000096965,2.09922795994699,1.19345791677173,-0.814711145088423,down,ENSSSCG00000002332,SIPA1L1,protein_coding,signal induced proliferation associated 1 like 1 [Source:VGNC Symbol;Acc:VGNC:92882]
ENSSSCT00000096980,0.413891119144424,3.10990163744151,2.9095457521905,up,ENSSSCG00000007644,,protein_coding,
ENSSSCT00000097032,2.66770349572942,1.18204457678083,-1.17431388294763,down,ENSSSCG00000001679,XPO5,protein_coding,exportin 5 [Source:VGNC Symbol;Acc:VGNC:95005]
ENSSSCT00000097041,0.475132644431836,0.234786392707031,-1.01698153390506,down,ENSSSCG00000055255,NGRN,protein_coding,"neugrin, neurite outgrowth associated [Source:UniProtKB Gene Name;Acc:A0A8W4FDW2]"
ENSSSCT00000097056,4.44456291486141,1.69494777958671,-1.39080072378437,down,ENSSSCG00000054999,ZBTB21,protein_coding,zinc finger and BTB domain containing 21 [Source:UniProtKB Gene Name;Acc:A0A8W4F7F1]
ENSSSCT00000097202,3.9941808051712,2.7925398757824,-0.516321759279802,down,ENSSSCG00000026914,PLAAT3,protein_coding,phospholipase A and acyltransferase 3 [Source:VGNC Symbol;Acc:VGNC:91504]
ENSSSCT00000097233,2.4135062034245,1.65585089253235,-0.543557769282391,down,ENSSSCG00000060053,BCL2L11,protein_coding,BCL2 like 11 [Source:NCBI gene (formerly Entrezgene);Acc:396632]
ENSSSCT00000097338,8.93830639613752,3.16081516104644,-1.49970482829171,down,ENSSSCG00000058323,,protein_coding,
ENSSSCT00000097478,1.27289896492678,0.876751278247641,-0.53787837736803,down,ENSSSCG00000059007,RPL36,protein_coding,ribosomal protein L36 [Source:NCBI gene (formerly Entrezgene);Acc:100512647]
ENSSSCT00000097519,1.12348510954473,18.0810753387342,4.0084275733865,up,ENSSSCG00000062015,CMC4,protein_coding,C-X9-C motif containing 4 [Source:UniProtKB Gene Name;Acc:A0A8D0HYP0]
ENSSSCT00000097602,1.12772910015595,4.53772376047171,2.00854823654659,up,ENSSSCG00000063377,GTF2E1,protein_coding,ral transcription factor IIE subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8W4FNR9]
ENSSSCT00000097658,0.896394484153822,4.691834937672,2.38794658259534,up,ENSSSCG00000030123,CDS2,protein_coding,CDP-diacylglycerol synthase 2 [Source:VGNC Symbol;Acc:VGNC:95869]
ENSSSCT00000097726,2.99192347652802,0.561967620444276,-2.41251436386661,down,ENSSSCG00000011548,BRPF1,protein_coding,bromodomain and PHD finger containing 1 [Source:VGNC Symbol;Acc:VGNC:85885]
ENSSSCT00000097797,6.91631529437836,3.84623544638994,-0.846556559067967,down,ENSSSCG00000003511,HP1BP3,protein_coding,heterochromatin protein 1 binding protein 3 [Source:VGNC Symbol;Acc:VGNC:88956]
ENSSSCT00000097933,1.45255897902658,0.249888821176762,-2.5392384745871,down,ENSSSCG00000034314,LSM4,protein_coding,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:VGNC Symbol;Acc:VGNC:89874]"
ENSSSCT00000098028,0.650224754907498,3.34326977049802,2.36224938412911,up,ENSSSCG00000035230,PIEZO1,protein_coding,piezo type mechanosensitive ion channel component 1 [Source:VGNC Symbol;Acc:VGNC:91417]
ENSSSCT00000098057,2.91150068998174,1.33317739426779,-1.12689420064588,down,ENSSSCG00000058091,,protein_coding,translocase of outer mitochondrial membrane 5 [Source:UniProtKB Gene Name;Acc:F1ST72]
ENSSSCT00000098126,2.68264179910343,1.17351483133895,-1.19281835566433,down,ENSSSCG00000040682,MAPK3,protein_coding,mitogen-activated protein kinase 3 [Source:VGNC Symbol;Acc:VGNC:90003]
