,H6,H7,W10,W6
ENSSSCT00000062620,21.62750083,26.46213203,24.9607609,22.53462727
ENSSSCT00000071933,42.48757422,76.74018288,19.65659921,39.43559773
ENSSSCT00000060104,3.763070461,8.30717615,0,4.501780562
ENSSSCT00000038828,7.816784575,7.395412914,9.988109356,4.007682696
ENSSSCT00000012517,24.03661257,26.18648482,35.83234231,28.75512334
ENSSSCT00000013502,3.119865345,3.005352871,0,11.19693291
ENSSSCT00000032688,8.875739697,8.193713471,23.81655801,4.247237235
ENSSSCT00000047007,40.41031221,32.09413509,44.21965785,41.65732154
ENSSSCT00000011483,47.91485273,52.70235938,39.14836321,26.4557469
ENSSSCT00000027607,2.924328874,0.440155223,16.34780374,23.61413037
ENSSSCT00000072756,2.085040938,0,0,0
ENSSSCT00000086537,2.861501496,0.861397527,0,2.567421727
ENSSSCT00000005901,4.250741101,6.398000974,9.505125344,5.085183459
ENSSSCT00000057479,0.422459275,0,0,1.516170616
ENSSSCT00000000913,23.43824219,17.69882294,7.106507307,9.980086192
ENSSSCT00000010839,107.0851659,33.26245646,67.10819098,41.61422479
ENSSSCT00000019639,0,0.486794187,0,0
ENSSSCT00000056500,43.09084606,33.95515788,42.50994639,47.75937441
ENSSSCT00000014101,0.753646485,0,0,0
ENSSSCT00000022352,46.01105216,28.79488196,29.78272608,26.07312246
ENSSSCT00000001186,9.584692862,5.770558386,0,7.371139762
ENSSSCT00000002621,14.40396259,3.303636957,3.06750924,0
ENSSSCT00000050395,29.89977074,22.91093682,6.078107363,21.94931228
ENSSSCT00000053570,229.952842,269.8441095,212.4538449,185.3176585
ENSSSCT00000052139,3.981219473,1.797699187,13.35366794,10.71619503
ENSSSCT00000092113,6.751561134,9.145898166,7.548617209,6.057695503
ENSSSCT00000010279,7.536464846,8.621064961,20.2228387,8.11432052
